system,game,art_old,art_new,score
Nintendo Game Boy Advance,Godzilla - Domination! (USA),Godzilla - Domination! (USA).jpg,Godzilla - Domination! (USA).jpg,100.0
Nintendo Game Boy Advance,"Golden Nugget Casino (USA, Europe)","Golden Nugget Casino (USA, Europe).png","Golden Nugget Casino (USA, Europe).png",100.0
Nintendo Game Boy Advance,"Golden Sun (USA, Europe)","Golden Sun (USA, Europe).png","Golden Sun (USA, Europe).png",100.0
Nintendo Game Boy Advance,"Golden Sun - The Lost Age (USA, Europe)","Golden Sun - The Lost Age (USA, Europe).png","Golden Sun - The Lost Age (USA, Europe).png",100.0
Nintendo Game Boy Advance,Gradius Galaxies (USA),Stadium Games (USA).jpg,Gradius Galaxies (USA).jpg,62.06896551724138
Nintendo Game Boy Advance,Grand Theft Auto Advance (USA),Grand Theft Auto Advance (USA).png,Grand Theft Auto Advance (USA).png,100.0
Nintendo Game Boy Advance,Green Eggs and Ham by Dr. Seuss (USA),Green Eggs and Ham by Dr. Seuss (USA).png,Green Eggs and Ham by Dr. Seuss (USA).png,100.0
Nintendo Game Boy Advance,Greg Hastings' Tournament Paintball Max'd (USA),Greg Hastings' Tournament Paintball Max'd (USA).jpg,Greg Hastings' Tournament Paintball Max'd (USA).jpg,100.0
Nintendo Game Boy Advance,Gremlins - Stripe vs Gizmo (USA),Gremlins - Stripe vs Gizmo (USA).jpg,Gremlins - Stripe vs Gizmo (USA).jpg,100.0
Nintendo Game Boy Advance,"Grim Adventures of Billy & Mandy, The (USA)","Grim Adventures of Billy & Mandy, The (USA).jpg","Grim Adventures of Billy & Mandy, The (USA).jpg",100.0
Nintendo Game Boy Advance,"GT Advance - Championship Racing (USA, Europe)","GT Advance - Championship Racing (USA, Europe).jpg","GT Advance - Championship Racing (USA, Europe).jpg",100.0
Nintendo Game Boy Advance,GT Advance 2 - Rally Racing (USA),GT Advance 2 - Rally Racing (USA).jpg,GT Advance 2 - Rally Racing (USA).jpg,100.0
Nintendo Game Boy Advance,GT Advance 3 - Pro Concept Racing (USA),GT Advance 3 - Pro Concept Racing (USA).jpg,GT Advance 3 - Pro Concept Racing (USA).jpg,100.0
Nintendo Game Boy Advance,"GT Racers (Europe) (En,Fr,De,Es,It)","GT Racers (Europe) (En,Fr,De,Es,It).png","GT Racers (Europe) (En,Fr,De,Es,It).png",100.0
Nintendo Game Boy Advance,Guilty Gear X - Advance Edition (USA),Guilty Gear X - Advance Edition (USA).png,Guilty Gear X - Advance Edition (USA).png,100.0
